City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Constitucion,CL,2022-04-17 01:57:20,-35.3333,-72.4167,54.32,75,0,3.02
127,Iqaluit,CA,2022-04-17 01:59:35,63.7506,-68.5145,10.13,84,75,4.61
128,Seydi,TM,2022-04-17 01:59:36,39.4816,62.9137,62.78,61,11,17.25
129,Kiunga,PG,2022-04-17 01:59:36,-6.1219,141.2906,85.6,67,100,2.89
130,Aktau,KZ,2022-04-17 01:59:36,43.65,51.2,48.78,64,0,11.88
131,Thinadhoo,MV,2022-04-17 01:59:37,0.5333,72.9333,83.46,68,97,7.94
132,Markova,UA,2022-04-17 01:59:37,48.6758,24.4138,29.48,95,87,4.54
133,Northam,GB,2022-04-17 01:59:37,51.0333,-4.2167,53.38,71,100,8.43
134,Khani,GE,2022-04-17 01:59:38,41.9563,42.9566,45.97,74,0,7.23
135,Tilichiki,RU,2022-04-17 01:55:58,60.4667,166.1,30.31,89,61,5.77
136,Cabo San Lucas,MX,2022-04-17 01:57:17,22.8909,-109.9124,80.62,55,100,10.83
137,Zyryanka,RU,2022-04-17 02:00:38,65.75,150.85,18.07,78,100,2.86
138,Sun Valley,US,2022-04-17 02:00:39,39.5963,-119.776,53.53,49,40,27.63
139,Bronnoysund,NO,2022-04-17 02:00:39,65.4625,12.1997,42.8,87,100,8.05
140,Redlands,US,2022-04-17 02:00:39,34.0556,-117.1825,68.54,65,40,11.5
141,Norman Wells,CA,2022-04-17 02:00:40,65.282,-126.8329,16.0,79,88,2.66
142,Albany,US,2022-04-17 01:57:31,42.6001,-73.9662,39.63,92,97,4.07
143,Gravdal,NO,2022-04-17 02:00:40,68.1214,13.5031,41.95,98,100,16.33
144,Sabang,ID,2022-04-17 02:00:41,5.8933,95.3214,83.86,63,56,5.37
145,Smirnykh,RU,2022-04-17 02:00:41,49.75,142.8333,33.62,80,100,11.9
146,Huaraz,PE,2022-04-17 01:59:09,-9.5333,-77.5333,51.73,88,87,1.34
147,Erdenet,MN,2022-04-17 02:00:42,49.0333,104.0833,43.11,39,76,4.16
148,Kahului,US,2022-04-17 02:00:42,20.8947,-156.47,72.97,74,100,10.96
149,Zhuhai,CN,2022-04-17 02:00:42,22.2769,113.5678,69.58,78,40,10.36
150,Kaliua,TZ,2022-04-17 02:00:43,-5.0606,31.7936,65.1,96,100,2.8
151,Nanortalik,GL,2022-04-17 02:00:43,60.1432,-45.2371,29.05,84,93,8.21
152,Sulphur Springs,US,2022-04-17 01:56:00,33.1385,-95.6011,60.75,88,100,12.66
153,Ribeira Grande,PT,2022-04-17 02:00:43,38.5167,-28.7,59.61,78,1,18.48
154,Elizabeth City,US,2022-04-17 02:00:44,36.2946,-76.2511,68.05,85,100,4.0
155,Wajima,JP,2022-04-17 02:00:44,37.4,136.9,53.38,45,0,0.74
