City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
134,Castro,BR,-24.7911,-50.0119,54.91,95,41,4.7,scattered clouds
135,Vestmannaeyjar,IS,63.4427,-20.2734,44.08,78,11,20.33,few clouds
136,Manzhouli,CN,49.6,117.4333,53.42,39,96,2.1,overcast clouds
137,Mount Gambier,AU,-37.8333,140.7667,58.32,60,56,7.23,broken clouds
138,Kiama,AU,-34.6833,150.8667,74.25,74,100,5.01,overcast clouds
139,Alpine,US,32.835,-116.7664,84.96,34,0,11.5,clear sky
140,Faya,SA,18.3851,42.4509,63.12,36,66,3.94,broken clouds
141,Kuito,AO,-12.3833,16.9333,59.27,98,95,4.29,overcast clouds
142,Ylojarvi,FI,61.5563,23.5961,36.95,84,0,1.14,clear sky
143,Saryozek,KZ,44.3583,77.9753,64.78,20,100,5.53,overcast clouds
144,Alghero,IT,40.5589,8.3181,57.29,94,75,9.22,broken clouds
145,Qaqortoq,GL,60.7167,-46.0333,33.75,79,100,3.49,light snow
146,Norman Wells,CA,65.282,-126.8329,27.93,71,11,7.29,few clouds
147,Zyryanovsk,KZ,49.7386,84.2719,43.05,72,100,1.72,overcast clouds
148,Jalu,LY,29.0331,21.5482,62.73,58,2,13.29,clear sky
149,Chervona Sloboda,UA,49.3789,32.1464,38.91,84,100,12.48,overcast clouds
150,Guaraniacu,BR,-25.1008,-52.8781,56.95,90,11,1.41,few clouds
151,Bolshaya Martynovka,RU,47.271,41.6679,56.77,72,100,13.94,light rain
152,Micco,US,27.8806,-80.5003,85.1,81,100,5.08,overcast clouds
153,San Cristobal,VE,7.7669,-72.225,75.38,83,99,4.41,overcast clouds
154,Leningradskiy,RU,69.3833,178.4167,26.51,80,100,4.5,overcast clouds
155,Banda,IN,25.4833,80.3333,88.57,12,3,3.24,clear sky
156,Saint Anthony,US,45.0205,-93.218,37.92,58,100,24.16,overcast clouds
157,Mabaruma,GY,8.2,-59.7833,75.69,80,100,5.79,overcast clouds
158,Faanui,PF,-16.4833,-151.75,81.57,72,9,8.99,clear sky
159,Busselton,AU,-33.65,115.3333,61.7,86,97,5.68,overcast clouds
160,Sur,OM,22.5667,59.5289,82.15,60,0,5.03,clear sky
161,Yellowknife,CA,62.456,-114.3525,27.12,33,75,10.36,broken clouds
162,Cockburn Town,TC,21.4612,-71.1419,78.76,78,40,16.11,scattered clouds
163,Chuy,UY,-33.6971,-53.4616,63.07,84,7,9.24,clear sky
164,Dali,CN,25.7,100.1833,51.3,87,41,0.2,scattered clouds
165,Barrhead,GB,55.7992,-4.3929,45.84,82,28,10.36,scattered clouds
166,Atasu,KZ,48.6814,71.6433,47.25,78,29,15.79,scattered clouds
167,Puerto Madryn,AR,-42.7692,-65.0385,66.97,53,1,11.65,clear sky
168,Amarkantak,IN,22.6667,81.75,75.76,18,12,3.62,few clouds
169,Bredasdorp,ZA,-34.5322,20.0403,58.33,96,10,4.16,clear sky
170,Daru,PG,-9.0763,143.2092,77.22,88,93,6.55,overcast clouds
171,Stryn,NO,61.9045,6.7226,45.32,68,15,5.99,few clouds
172,Massillon,US,40.7967,-81.5215,38.55,68,100,11.5,overcast clouds
173,Awjilah,LY,29.1081,21.2869,62.37,59,3,12.68,clear sky
174,Sistranda,NO,63.7256,8.834,42.76,80,0,9.46,clear sky
175,Jensen Beach,US,27.2545,-80.2298,80.65,77,75,3.44,broken clouds
176,Gemena,CD,3.25,19.7667,71.24,98,100,1.52,moderate rain
177,Chumikan,RU,54.7183,135.315,37.02,80,96,15.21,overcast clouds
178,Zhanakorgan,KZ,43.9098,67.2495,68.94,38,100,17.52,overcast clouds
179,Marzuq,YE,14.4,46.4667,72.03,42,19,4.47,few clouds
180,Panalingaan,PH,8.7842,117.4231,78.55,84,97,2.62,overcast clouds
